"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 26 23:31:12 UTC 2025","Fri Dec 26 23:31:22 UTC 2025","9877","Google Chrome","registerfixture.spec.ts","","","","do user registration",""
"passed","Fri Dec 26 23:30:51 UTC 2025","Fri Dec 26 23:30:58 UTC 2025","6949","Google Chrome","Homepage.spec.ts","","","","verify search results with macbook",""
"passed","Fri Dec 26 23:31:06 UTC 2025","Fri Dec 26 23:31:12 UTC 2025","5546","Google Chrome","ProductInfo.spec.ts","","","","verify Product details",""
"passed","Fri Dec 26 23:31:06 UTC 2025","Fri Dec 26 23:31:12 UTC 2025","5387","Google Chrome","Register.spec.ts","","","","Register the user",""
"passed","Fri Dec 26 23:30:51 UTC 2025","Fri Dec 26 23:30:58 UTC 2025","7055","Google Chrome","Homepage.spec.ts","","","","verify search results with samsung",""
"passed","Fri Dec 26 23:31:12 UTC 2025","Fri Dec 26 23:31:16 UTC 2025","4768","Google Chrome","registercsv.spec.ts","","","","do user registration of John",""
"passed","Fri Dec 26 23:31:09 UTC 2025","Fri Dec 26 23:31:14 UTC 2025","4955","Google Chrome","registercsv.spec.ts","","","","do user registration of Bob",""
"passed","Fri Dec 26 23:31:06 UTC 2025","Fri Dec 26 23:31:09 UTC 2025","3533","Google Chrome","loginpage.spec.ts","","","","verify invalid login",""
"passed","Fri Dec 26 23:30:51 UTC 2025","Fri Dec 26 23:30:58 UTC 2025","6648","Google Chrome","Homepage.spec.ts","","","","verify search results with dummy",""
"passed","Fri Dec 26 23:31:06 UTC 2025","Fri Dec 26 23:31:12 UTC 2025","5349","Google Chrome","registercsv.spec.ts","","","","do user registration of Alice",""
"passed","Fri Dec 26 23:30:51 UTC 2025","Fri Dec 26 23:30:58 UTC 2025","6511","Google Chrome","loginpage.spec.ts","","","","validate login,@login",""
